# Four FULL Google News feeds, captured 2026-09-13 through the relay
# (task churn-sample, run 34779657967). The sandbox is refused news.google.com.
#
# symbol \t publisher label \t link host \t title (with its " - Publisher" suffix)
#
# 353 items: MU 100, BRK-B 100, CYRX 53, JPM 100.
#
# THE LINK HOST IS news.google.com ON EVERY ROW, and that is a finding rather
# than a capture bug: Google News wraps every link, so the publisher's domain is
# NOT available to a classifier. A per-domain cap -- one of the two rules
# considered -- would have been capping a single host covering the whole feed.
# Only the <source> label and the title carry publisher information.
#
# Used by scripts/check-filing-churn.mjs. Dumped verbatim; every judgement
# about it is made offline, per the standing probe rule.
===== MU :: "Micron Technology" stock
===== HTTP 200
===== items in feed: 100
MU	Yahoo Finance	news.google.com	Will Micron Technology Stock Soar to $1,500 After Sept. 30? - Yahoo Finance
MU	The Motley Fool	news.google.com	Broadcom vs. Micron Technology: Which Technology Stock Is a Better Buy in 2026? - The Motley Fool
MU	Benzinga	news.google.com	What's Going On With Micron Technology Stock Thursday? - Benzinga
MU	Yahoo Finance	news.google.com	Is Micron Stock the Next Nvidia? The Answer May Shock Investors. - Yahoo Finance
MU	Yahoo Finance	news.google.com	Where Will Micron Be in 10 Years? - Yahoo Finance
MU	Yahoo Finance	news.google.com	Micron Is Down 19% From Its High. History Suggests a $5,000 Investment Today Could Be Worth This Much by 2030. - Yahoo Finance
MU	Currently.com	news.google.com	Why Micron Stock Just Sank - Currently.com
MU	The Motley Fool	news.google.com	Why Micron Stock Just Sank - The Motley Fool
MU	moomoo.com	news.google.com	Micron Technology Stock (MU) Opinions on AI Memory Demand and Price Volatility - moomoo.com
MU	Benzinga	news.google.com	Micron Stock Has Stalled, But One Catalyst Could Bring the Momentum Back - Benzinga
MU	Yahoo Finance	news.google.com	Broadcom vs. Micron Technology: Which Technology Stock Is a Better Buy in 2026? - Yahoo Finance
MU	The Motley Fool	news.google.com	Prediction: This Memory Stock Could Surge 233% Over the Next 3 Years (Hint: It's not Micron or Sandisk) - The Motley Fool
MU	Yahoo Finance	news.google.com	Why Micron Technology Stock Surged 16.5% Last Month - Yahoo Finance
MU	The Motley Fool	news.google.com	Applied Materials vs. Micron Technology: Which Technology Stock Is a Better Buy in 2026? - The Motley Fool
MU	Yahoo Finance	news.google.com	Prediction: This AI Stock Could Be the Next One to Shock Wall Street - Yahoo Finance
MU	The Motley Fool	news.google.com	Prediction: This Artificial Intelligence (AI) Chip Stock Will Soar After Sept. 30 (Hint: It's Not Micron) - The Motley Fool
MU	Yahoo Finance	news.google.com	Is Micron Technology Stock Running Out of Steam? - Yahoo Finance
MU	Yahoo Finance	news.google.com	Micron Technology Stock Has Stumbled, but Here's Why I'm Not Buying the Dip - Yahoo Finance
MU	The Motley Fool	news.google.com	Why Micron Technology Stock Surged 16.5% Last Month - The Motley Fool
MU	The Motley Fool	news.google.com	Prediction: Micron Stock Could Turn $10,000 Into a Much Larger Sum by 2030 - The Motley Fool
MU	The Motley Fool	news.google.com	Where Will Micron Be in 10 Years? - The Motley Fool
MU	The Motley Fool	news.google.com	Is Micron Technology Stock Running Out of Steam? - The Motley Fool
MU	The Motley Fool	news.google.com	Micron Technology Stock Has Stumbled, but Here's Why I'm Not Buying the Dip - The Motley Fool
MU	Yahoo Finance	news.google.com	Micron, Sandisk and the Next Leg Higher in Memory Stocks - Yahoo Finance
MU	TOP1markets	news.google.com	Micron Technology (MU) Stock Price Forecast: Buy The Dip Or Stay Away? - TOP1markets
MU	Barron's	news.google.com	Why Micron Stock Is on Pace for a Weekly Decline - Barron's
MU	Barron's	news.google.com	Micron Stock Has Reclaimed $1,000—What Comes Next - Barron's
MU	timothysykes.com	news.google.com	MU Stock Slides As Legal Fears And Chip Sell-Off Hit Momentum - timothysykes.com
MU	ChartMill	news.google.com	Micron Technology (NASDAQ:MU): Strong Growth Meets a High-Quality Technical Setup - ChartMill
MU	Yahoo Finance	news.google.com	Micron Technology Stock Finally Looks Like a Contrarian Opportunity - Yahoo Finance
MU	Yahoo Finance	news.google.com	This Is the Big Question With Micron Technology Stock - Yahoo Finance
MU	Yahoo Finance	news.google.com	What's Going On With Micron Technology Stock Friday? - Yahoo Finance
MU	Yahoo Finance	news.google.com	Prediction: If You Invest $10,000 in Micron Stock Today, It Will Be Worth This Much by 2030 - Yahoo Finance
MU	The Motley Fool	news.google.com	Micron Is 1.6 Points From Taking the No. 2 Spot in DRAM - The Motley Fool
MU	Yahoo Finance	news.google.com	Should You Buy Micron Technology Stock Below $920 per Share? Wall Street Thinks It's Heading to $1,500. - Yahoo Finance
MU	simplywall.st	news.google.com	Is AI Memory Shortage Altering The Investment Case For Micron Stock (MU)? - simplywall.st
MU	The Motley Fool	news.google.com	Prediction: Micron Stock Will Go Parabolic After Sept. 30 - The Motley Fool
MU	Yahoo Finance	news.google.com	Prediction: Micron Stock Will Reach $1,300 by the End of 2026 - Yahoo Finance
MU	Yahoo Finance	news.google.com	Micron Technology Stock Has Become A Bet On Memory Prices - Yahoo Finance
MU	StocksToTrade	news.google.com	MU Stock Slides As Legal Fight And Chip Selloff Rattle Traders - StocksToTrade
MU	The Motley Fool	news.google.com	Prediction: This Is What a $1,000 Investment in Micron Stock Will Be Worth by 2030 - The Motley Fool
